N,s,roc_a,roc_b,r_ring,k,n_exit,res_t,res_s,opl_est,ang_t,ang_s,off_z,w0,waist_frac,exit_miss,sku_a,sku_b,feasible,reason,opl_m,hole_clear,sep_margin,w_max,envelope_mm,throughput
12,5,500.0,750.0,51.67155755482074,25,300,0.0021550514681916155,0.0237203313321519,29.94099602263991,0.01721543594174567,0.035553703672094705,-0.0014692802554303643,0.20004694464134115,0.7485164562694357,0.0026224006763615115,CM254-250-M01,CM254-375-M01,False,miss=0.003 clear=0.31 sep=-0.87 env=139,29.923690944802598,0.3100135181554293,-0.8734018631384638,0.4704800602938002,139.34311510964147,0.741448480636736
12,5,500.0,750.0,46.02203909534823,27,324,0.0018172563524974095,0.10933355766983333,28.816101987564835,0.04843571401006645,0.010480512172755039,0.00083755593224259,0.22369254020528462,0.5081469284076063,0.33115628008859077,CM254-250-M01,CM254-375-M01,False,miss=0.331 clear=0.30 sep=-0.73 env=128,28.787275652531026,0.30134168692146357,-0.7326819756667409,0.39898936416624253,128.04407819069644,0.7238568640376019
12,5,500.0,750.0,44.20884958964465,29,348,0.0027650461420609673,0.08221619486741893,26.93843491013997,0.03995133447372724,0.013025593524654619,0.002408054402968986,0.3204537233669086,0.5676406347946099,0.9771975492223269,CM254-250-M01,CM254-375-M01,False,no closure (miss 0.98),,,,,,
12,5,750.0,1000.0,73.9575901354847,25,300,0.0013396919460273438,0.01015704076177748,42.85928802342275,0.012247291883517768,0.024235463419467987,0.0005219458325106891,0.35462645354804667,0.6732346988403926,3.611793377137132e-05,CM254-375-M01,CM254-500-M01,False,miss=0.000 clear=0.30 sep=-0.74 env=184,42.83007294991678,0.302702955174597,-0.7387441379698407,0.39206904431618533,183.9151802709694,0.741448480636736
12,5,750.0,1000.0,68.21539494151668,27,324,0.0004639095472516175,0.0982023437165136,41.23810902620724,0.012339511757860439,0.018477772281009407,0.0026834025896590582,0.2131545305088044,0.4874449032043088,0.5637411247720936,CM254-375-M01,CM254-500-M01,False,miss=0.564 clear=0.30 sep=-1.09 env=172,42.66755643103826,0.3000025449466057,-1.085110986413669,0.6076948283541393,172.43078988303336,0.7238568640376019
12,5,750.0,1000.0,75.23791322600134,23,276,0.13271070954343323,0.29845638353753223,40.18660989911471,0.010097452889125096,0.015547941860671061,0.0017150273526892966,0.2758541347777179,0.7773595144545019,1.0047911782797916,CM254-375-M01,CM254-500-M01,False,no closure (miss 1.00),,,,,,
12,5,750.0,1000.0,63.35288892408295,29,348,0.0010724517046316606,0.0735214210066939,38.54071865556087,0.022598228154718875,0.020179224795820447,-0.00034425988231827885,0.289528643738162,0.5521651655227743,1.5685086256796945,CM254-375-M01,CM254-500-M01,False,no closure (miss 1.57),,,,,,
12,5,750.0,1000.0,50.34423905104214,31,372,0.00039054579707631376,0.054851763569848444,36.165282953926386,0.01050236700152802,0.045053615599790514,-0.007291921392159183,0.21228411743675943,0.6265528505539618,0.005050781034561559,CM254-375-M01,CM254-500-M01,False,miss=0.005 clear=0.55 sep=-0.81 env=137,36.158280210756935,0.5548465658739472,-0.810015652000555,0.5213440125559184,136.68847810208428,0.6899158648955463
12,5,750.0,1000.0,44.53460425410424,33,396,0.0011934888154332413,0.03832354424750939,34.05992011332218,0.014853761476771029,0.0407938387641349,-0.00040651060213548623,0.2876937410502337,0.535956588717444,1.3692746309524463e-05,CM254-375-M01,CM254-500-M01,False,miss=0.000 clear=0.47 sep=-0.26 env=125,34.050608007482445,0.4674403730781824,-0.2606856920127106,0.3703270194540829,125.06920850820848,0.6735469118288683
12,5,750.0,1000.0,70.91210697553957,13,156,0.00020581086482529543,0.056303628093067104,21.364038329590034,0.012964752556945397,0.008226038180316284,-0.006991856804413592,0.4767518488766843,1.078761715533835,0.10483337436415896,CM254-375-M01,CM254-500-M01,False,miss=0.105 clear=0.30 sep=-0.43 env=178,21.339596764052075,0.30001063845504494,-0.4255488102947982,0.5066332290804095,177.82421395107914,0.8563487636013165
